QueryId,DocumentId
2,326
2,370
2,334
2,349
2,211
2,359
2,308
2,304
2,407
2,395
2,383
2,257
2,268
2,323
2,252
2,350
2,12
2,384
2,171
2,121
2,30
2,324
2,419
2,376
2,288
2,294
2,170
2,47
2,156
2,169
2,367
2,185
2,329
2,259
2,382
2,106
2,343
2,29
2,280
2,159
2,154
2,292
2,48
2,405
2,327
2,38
2,94
2,374
2,238
2,135
2,399
2,406
2,53
2,377
2,287
2,164
2,277
2,345
2,219
2,71
2,6
2,11
2,344
2,335
2,373
2,306
2,271
2,88
2,352
2,361
2,254
2,408
2,416
2,43
2,202
2,316
2,388
2,279
2,422
2,413
2,394
2,23
2,78
2,93
2,87
2,315
2,33
2,175
2,200
2,1
2,281
2,116
2,213
2,194
2,328
2,378
2,360
2,14
2,240
2,160
2,142
2,258
2,174
2,99
2,253
2,86
2,126
2,391
2,100
2,128
2,272
2,290
2,239
2,305
2,307
2,193
2,114
2,414
2,15
2,220
2,148
2,379
2,398
2,108
2,44
2,286
2,46
2,105
2,261
2,117
2,26
2,289
2,313
2,412
2,39
2,113
2,255
2,231
2,17
2,284
2,371
2,115
2,266
2,118
2,192
2,208
2,237
2,158
2,37
2,140
2,319
2,269
2,176
2,203
2,214
2,223
2,403
2,418
2,273
2,317
2,54
2,298
2,229
2,90
2,134
2,270
2,332
2,165
2,84
2,206
2,355
2,181
2,55
2,27
2,246
2,358
2,96
2,10
2,124
2,141
2,278
2,76
2,196
2,291
2,302
2,228
2,221
2,262
2,301
2,322
2,70
2,364
2,195
2,226
2,264
2,65
2,57
2,267
2,386
2,139
2,218
2,67
2,260
2,309
2,149
2,40
2,242
2,392
2,56
2,303
2,321
2,20
2,230
2,337
2,32
2,143
2,300
2,97
2,147
2,233
2,311
2,122
2,28
2,83
2,92
2,119
2,166
2,274
2,314
2,400
2,69
2,59
2,411
2,131
2,227
2,168
2,63
2,357
2,144
2,184
2,5
2,247
2,51
2,348
2,410
2,73
2,107
2,397
2,177
2,225
2,61
2,89
2,417
2,204
2,318
2,157
2,339
2,285
2,138
2,215
2,234
2,346
2,102
2,145
2,390
2,179
2,325
2,127
2,217
2,109
2,299
2,35
2,58
2,178
2,356
2,381
2,68
2,180
2,198
2,276
2,368
2,372
2,236
2,333
2,186
2,173
2,34
2,7
2,104
2,155
2,189
2,209
2,241
2,275
2,389
2,25
2,188
2,296
2,331
2,9
2,22
2,42
2,72
2,79
2,183
2,49
2,91
2,243
2,41
2,62
2,75
2,81
2,120
2,146
2,152
2,182
2,197
2,224
2,366
2,387
2,101
2,167
2,338
2,341
2,409
2,21
2,45
2,77
2,130
2,136
2,205
2,210
2,212
2,232
2,244
2,245
2,250
2,265
2,295
2,310
2,330
2,401
2,404
2,421
2,2
2,18
2,24
2,52
2,64
2,74
2,98
2,103
2,133
2,153
2,191
2,201
2,256
2,293
2,340
2,380
2,402
2,415
2,31
2,36
2,50
2,132
2,137
2,150
2,216
2,235
2,297
2,320
2,342
2,354
2,365
2,369
2,385
2,4
2,13
2,16
2,60
2,80
2,110
2,123
2,151
2,163
2,199
2,207
2,222
2,263
2,283
2,312
2,393
2,396
2,19
2,82
2,95
2,111
2,125
2,161
2,162
2,190
2,248
2,249
2,251
2,336
2,420
2,3
2,8
2,85
2,129
2,172
2,347
2,353
2,362
2,363
2,375
2,66
2,112
2,187
2,282
2,351
2,423
3,349
3,211
3,326
3,334
3,12
3,308
3,407
3,252
3,316
3,121
3,343
3,395
3,350
3,370
3,47
3,170
3,257
3,185
3,359
3,383
3,294
3,175
3,324
3,304
3,169
3,30
3,384
3,323
3,268
3,300
3,106
3,156
3,171
3,419
3,305
3,338
3,5
3,29
3,142
3,148
3,256
3,335
3,56
3,99
3,259
3,288
3,376
3,195
3,266
3,378
3,100
3,380
3,331
3,166
3,290
3,154
3,354
3,41
3,188
3,374
3,36
3,234
3,7
3,295
3,301
3,298
3,25
3,115
3,315
3,48
3,152
3,273
3,287
3,196
3,299
3,415
3,19
3,138
3,422
3,364
3,10
3,98
3,102
3,135
3,405
3,327
3,271
3,202
3,345
3,280
3,11
3,377
3,159
3,312
3,21
3,70
3,208
3,79
3,94
3,87
3,235
3,89
3,103
3,306
3,198
3,40
3,267
3,286
3,293
3,404
3,230
3,292
3,261
3,86
3,382
3,91
3,34
3,221
3,236
3,74
3,82
3,246
3,272
3,367
3,15
3,254
3,88
3,76
3,118
3,164
3,389
3,1
3,53
3,54
3,33
3,360
3,24
3,146
3,183
3,205
3,228
3,311
3,180
3,194
3,32
3,60
3,113
3,167
3,328
3,333
3,392
3,416
3,3
3,279
3,297
3,233
3,55
3,128
3,251
3,372
3,400
3,227
3,423
3,44
3,9
3,247
3,178
3,181
3,81
3,206
3,132
3,337
3,339
3,27
3,90
3,133
3,150
3,130
3,269
3,318
3,408
3,66
3,38
3,149
3,189
3,222
3,116
3,13
3,31
3,35
3,37
3,61
3,117
3,144
3,265
3,285
3,319
3,344
3,356
3,397
3,409
3,43
3,361
3,45
3,155
3,6
3,20
3,93
3,157
3,186
3,255
3,321
3,373
3,375
3,139
3,212
3,232
3,341
3,122
3,204
3,253
3,336
3,418
3,39
3,50
3,160
3,209
3,342
3,352
3,358
3,72
3,62
3,69
3,125
3,215
3,218
3,313
3,379
3,410
3,46
3,57
3,71
3,104
3,108
3,140
3,192
3,200
3,239
3,243
3,275
3,283
3,289
3,296
3,310
3,346
3,357
3,369
3,399
3,401
3,402
3,417
3,420
3,2
3,4
3,8
3,14
3,16
